GEOID,EvicTotal,HH_Median,Population,Male,Female,Median_age,White,Black,Asian,Hispanic,Households,Family_HH,Employed,Per_capita,Health_Ins,NoHealth_Ins,Pct_in_pov,Travel_time,HU_Occupied,HU_Vacant,Homeowner,Rental_vacancy,No_telepho,higherEduc,Urban_Rura
47157000700,180,19849,4308,1703,2605,38.3,338,3970,0,0,2030,1155,1630,18565,3655,653,40.4329,0,2030,657,0,16.057,27,1620,Urban
47157000800,62,14299,2286,985,1301,26.3,42,2244,0,0,864,491,648,12142,1949,332,56.6191,0,864,239,0,11.22,5,369,Urban
47157000900,50,18790,2625,1071,1554,37.7,35,2527,0,0,1165,609,745,12239,2246,379,35.468,9,1165,267,0,3.937,28,618,Urban
47157020512,240,26381,5159,1888,3271,30.9,528,4577,0,41,2294,1219,2268,22173,4679,480,33.0599,0,2294,982,0,23.081,35,1705,Urban
47157021351,5,91622,4659,2171,2488,41.9,3455,266,730,85,1951,1280,2125,47857,4510,98,2.34375,29,1951,217,5.273,14.187,42,2664,Urban
47157020642,21,93887,10331,5390,4941,39.3,6077,3589,186,233,3355,2573,5219,35595,9805,217,2.79829,69,3355,0,0,0,29,5573,Mixed
47157021540,19,134826,12575,6078,6497,40.8,10300,511,1268,275,4075,3715,6174,52913,12345,230,1.58816,61,4075,54,1.153,0,15,6992,Mixed
47157005500,75,18533,1940,1005,935,43.2,29,1911,0,38,839,397,671,14476,1566,374,38.7909,22,839,556,9.32,15.669,22,618,Urban
47157020521,78,22845,3515,1469,2046,28.9,235,3208,0,30,1264,810,1262,11410,2980,535,39.7531,21,1264,207,0,7.297,55,919,Urban
47157008200,106,22902,4896,2456,2440,26.9,553,3673,15,872,1567,957,1452,12696,3765,1131,51.2017,35,1567,414,0,8.918,50,755,Urban
47157010220,99,30096,8151,4069,4082,29.4,784,7143,60,324,2643,1746,2856,14032,6672,1343,37.7434,83,2643,237,0,6.995,0,1918,Urban
47157020221,11,53822,2675,1305,1370,46.2,1635,827,14,127,1039,740,1369,30930,2383,292,6.21622,0,1039,66,0,11.741,16,1139,Mixed
47157021353,0,165321,9754,4596,5158,46,8695,160,779,167,3213,2983,4209,77417,9645,109,1.13979,37,3213,12,0,0,0,6190,Urban
47157021020,51,90560,6643,3303,3340,36.6,4161,2202,246,87,2180,1686,3377,49299,6253,390,7.29537,0,2180,172,3.32,8.272,0,3765,Mixed
47157021200,0,0,3539,3302,237,34.2,714,2749,0,124,0,0,0,6118,0,0,0,0,0,0,0,0,0,815,Urban
47157021342,202,55585,9848,5367,4481,37.3,5122,3472,746,329,4506,2486,5476,58425,8651,1134,4.62591,44,4506,276,0,2.041,111,6203,Urban
47157021710,277,28018,3263,1449,1814,26.5,246,2974,0,94,1303,717,1542,16504,2738,525,37.9358,0,1303,161,0,10.287,18,1089,Urban
47157021745,71,77489,7855,3875,3980,40.8,947,6630,39,451,2553,1915,4885,28330,6826,953,0.417755,159,2553,164,1.423,0,0,4021,Urban
47157022210,60,33853,4302,2039,2263,42.7,15,4218,14,0,1473,1074,1318,17011,3712,590,29.7952,21,1473,345,3.707,5.882,10,1325,Mixed
47157020622,60,56765,4151,1971,2180,48.5,3325,731,0,97,1624,1092,1902,34212,3691,283,5.58608,0,1624,201,0,6.214,23,1833,Urban
47157020632,14,80370,5648,2706,2942,37.6,4285,816,438,263,1883,1443,2846,30547,5396,203,2.7027,40,1883,51,0.462,0,33,2906,Urban
47157020651,32,60938,7297,3771,3526,38.5,3909,2769,31,589,2397,1887,3458,24821,6325,972,15.3153,52,2397,118,0,5.296,0,2587,Urban
47157022322,31,43570,4514,1958,2556,43.5,63,4451,0,0,1651,1100,1813,20891,3928,586,16.9091,59,1651,100,0,0,0,2027,Urban
47157020652,16,65864,4845,2415,2430,42,4123,676,0,399,1817,1293,2447,28036,4454,391,11.5236,36,1817,192,0,17.96,0,2310,Urban
47157021111,84,43194,4375,2355,2020,29.6,1979,2219,54,441,1519,985,2068,19391,3629,738,27.6142,30,1519,150,0,6.029,0,1706,Urban
47157021112,51,49286,7039,3421,3618,29.5,4780,1670,26,2570,2438,1435,3683,19431,5246,1793,11.4983,22,2438,78,2.794,0,38,1948,Urban
47157021113,30,63077,4064,2085,1979,31,2195,1580,115,726,1438,992,2033,24664,3413,651,7.8629,0,1438,71,0,5.164,40,1693,Urban
47157022330,60,37776,5123,2575,2548,39,200,4717,0,360,1767,1328,1950,17709,4585,538,18.5241,0,1767,202,0,9.302,39,1944,Urban
47157006300,19,57841,2647,1414,1233,33.3,1738,875,0,26,1174,461,1727,37149,2375,272,12.1475,38,1174,96,3.344,3.716,47,1401,Urban
47157021122,220,44409,6401,3012,3389,28.6,2386,3354,21,788,2322,1625,3137,21378,5628,773,24.1231,0,2322,223,0,4.313,82,2319,Urban
47157005000,48,15474,991,392,599,28,18,952,0,0,337,178,190,8505,893,98,57.3034,4,337,94,0,3.834,5,135,Urban
47157021136,15,96667,5596,2652,2944,39.3,2780,2335,223,235,1872,1515,3054,42860,5307,204,2.77228,48,1872,83,0,0,12,3340,Urban
